,DC,month,DMC,temp,RH,FFMC,ISI,wind,rain,X
387,30.6,3,18.9,11.6,48,90.9,8.0,5.4,0.0,5
388,706.7,8,227.0,23.3,34,94.8,12.0,3.1,0.0,6
389,706.7,8,227.0,23.3,34,94.8,12.0,3.1,0.0,7
390,58.3,2,9.5,7.5,71,84.7,4.1,6.3,0.0,7
391,738.1,9,91.3,20.7,46,91.1,7.2,2.7,0.0,8
392,825.1,9,276.3,21.9,43,91.0,7.1,4.0,0.0,1
393,25.6,3,15.0,15.2,19,93.4,11.4,7.6,0.0,2
394,46.7,2,4.6,5.3,68,84.1,2.2,1.8,0.0,6
395,56.9,2,9.0,10.1,62,85.0,3.5,1.8,0.0,4
396,750.5,9,96.7,20.4,55,90.5,11.4,4.9,0.0,4
397,613.0,8,181.3,24.3,33,91.6,7.6,3.6,0.0,5
398,715.1,8,231.1,25.9,32,93.7,8.4,3.1,0.0,1
399,297.7,6,49.5,28.0,34,93.3,14.0,4.5,0.0,9
400,297.7,6,49.5,28.0,34,93.3,14.0,4.5,0.0,9
401,731.7,9,88.2,22.8,46,91.1,8.3,4.0,0.0,3
402,706.7,8,227.0,25.0,36,94.8,12.0,4.0,0.0,9
403,643.0,8,194.1,21.3,41,90.7,6.8,3.6,0.0,8
404,725.1,9,84.8,21.8,34,87.9,3.7,2.2,0.0,2
405,680.9,8,212.1,27.9,27,94.6,9.5,2.2,0.0,2
406,860.6,9,291.3,17.0,67,87.1,4.0,4.9,0.0,6
407,55.0,2,8.2,14.2,46,84.7,2.9,4.0,0.0,4
408,855.3,9,290.0,19.9,44,90.3,7.4,3.1,0.0,4
409,450.2,7,96.2,23.4,31,92.3,12.1,5.4,0.0,1
410,52.8,2,7.3,14.7,42,84.1,2.7,2.7,0.0,6
411,43.6,2,3.2,8.2,53,84.6,3.3,9.4,0.0,7
412,442.1,7,92.1,22.8,27,92.3,9.8,4.5,0.0,9
413,715.1,8,231.1,26.4,33,93.7,8.4,3.6,0.0,7
414,723.1,8,235.1,24.1,50,93.6,10.1,4.0,0.0,5
415,698.6,8,222.4,27.5,27,94.8,13.9,4.9,0.0,8
416,575.8,7,164.1,26.3,39,92.7,8.9,3.1,0.0,6
417,28.3,3,17.3,13.8,24,93.4,9.9,5.8,0.0,6
418,664.5,8,203.2,24.9,42,92.0,8.1,5.4,0.0,2
419,613.0,8,181.3,24.8,36,91.6,7.6,4.0,0.0,2
420,635.9,8,191.4,26.2,36,91.7,7.8,4.5,0.0,8
421,690.0,8,217.7,30.8,19,95.2,18.0,4.5,0.0,2
422,795.9,7,263.1,29.3,27,88.9,5.2,3.6,0.0,8
423,744.4,9,94.3,22.3,48,91.2,8.4,4.0,0.0,1
424,715.1,8,231.1,26.9,31,93.7,8.4,3.6,0.0,8
425,753.8,8,248.4,20.4,56,91.6,6.3,2.2,0.0,2
426,753.8,8,248.4,20.4,56,91.6,6.3,2.2,0.0,8
427,672.6,8,207.0,27.9,33,92.1,8.2,2.2,0.0,2
428,698.6,8,222.4,26.2,34,94.8,13.9,5.8,0.0,1
429,613.0,8,181.3,24.6,44,91.6,7.6,4.0,0.0,3
430,849.3,9,287.2,19.4,45,89.7,6.8,3.6,0.0,7
431,605.3,8,178.0,23.3,40,92.1,9.6,4.0,0.0,1
432,698.6,8,222.4,23.9,38,94.8,13.9,6.7,0.0,8
433,723.1,8,235.1,20.9,66,93.6,10.1,4.9,0.0,2
434,811.2,8,269.8,22.2,45,90.6,5.5,3.6,0.0,1
435,376.6,7,84.7,23.8,51,90.8,5.6,1.8,0.0,2
436,672.6,8,207.0,26.8,35,92.1,8.2,1.3,0.0,8
437,768.4,8,253.6,14.2,73,89.4,9.7,2.7,0.0,8
438,715.1,8,231.1,23.6,53,93.7,8.4,4.0,0.0,2
439,738.1,9,91.3,19.1,46,91.1,7.2,2.2,0.0,1
440,855.3,9,290.0,16.2,58,90.3,7.4,3.6,0.0,5
441,672.6,8,207.0,25.5,29,92.1,8.2,1.8,0.0,8
442,41.6,4,24.9,10.9,64,87.9,3.7,3.1,0.0,6
443,368.3,7,80.9,14.8,78,90.7,16.8,8.0,0.0,1
444,855.3,9,290.0,16.2,58,90.3,7.4,3.6,0.0,2
445,100.7,8,47.9,17.3,80,94.0,10.7,4.5,0.0,5
446,664.5,8,203.2,19.1,70,92.0,8.1,2.2,0.0,6
447,28.3,3,17.3,8.9,35,93.4,9.9,8.0,0.0,3
448,844.0,9,284.9,10.5,77,89.7,10.1,4.0,0.0,7
449,613.0,8,181.3,19.3,61,91.6,7.6,4.9,0.0,7
450,690.0,8,217.7,23.4,49,95.2,18.0,5.4,0.0,4
451,649.9,8,196.8,11.8,88,90.5,16.3,4.9,0.0,1
452,730.6,8,238.2,17.7,65,91.5,7.5,4.0,0.0,7
453,803.3,8,266.2,17.4,54,89.4,5.6,3.1,0.0,4
454,753.8,8,248.4,16.8,56,91.6,6.3,3.1,0.0,3
455,567.2,7,160.0,17.9,48,94.6,16.7,2.7,0.0,3
456,753.8,8,248.4,16.6,59,91.6,6.3,2.7,0.0,2
457,635.9,8,191.4,19.9,50,91.7,7.8,4.0,0.0,1
458,715.1,8,231.1,18.9,64,93.7,8.4,4.9,0.0,8
459,819.1,8,273.8,15.5,72,91.6,7.7,8.0,0.0,7
460,715.1,8,231.1,18.9,64,93.7,8.4,4.9,0.0,2
461,715.1,8,231.1,18.9,64,93.7,8.4,4.9,0.0,8
462,825.1,9,276.3,14.5,76,91.0,7.1,7.6,0.0,1
463,16.2,2,4.4,4.6,82,75.1,1.9,6.3,0.0,6
464,16.2,2,4.4,5.1,77,75.1,1.9,5.4,0.0,6
465,15.3,2,3.6,4.6,59,79.5,1.8,0.9,0.0,2
466,36.9,3,15.1,10.2,45,87.2,7.1,5.8,0.0,6
467,41.1,3,18.5,11.2,41,90.2,7.3,5.4,0.0,3
468,43.5,3,20.6,13.3,27,91.3,8.5,3.6,0.0,6
469,25.6,4,14.6,13.7,33,91.0,12.3,9.4,0.0,6
470,25.6,4,14.6,17.6,27,91.0,12.3,5.8,0.0,5
471,73.7,5,25.4,18.0,40,89.6,5.7,4.0,0.0,4
472,229.0,6,96.2,14.3,79,88.2,4.7,4.0,0.0,8
473,252.6,6,61.1,24.5,50,90.5,9.4,3.1,0.0,9
474,316.7,6,103.8,26.4,35,93.0,10.8,2.7,0.0,4
475,350.2,6,121.7,22.7,40,93.7,18.0,9.4,0.0,2
476,395.0,7,85.3,27.2,28,93.5,9.9,1.3,0.0,4
477,423.4,7,101.3,26.1,45,93.7,14.7,4.0,0.0,4
478,423.4,7,101.3,18.2,82,93.7,14.7,4.5,0.0,7
479,431.6,7,103.9,22.6,57,89.2,6.4,4.9,0.0,7
480,560.0,7,114.4,30.2,25,93.2,9.5,4.5,0.0,9
481,560.0,7,114.4,30.2,22,93.2,9.5,4.9,0.0,4
482,587.1,8,130.3,23.4,40,94.9,14.1,5.8,0.0,3
483,587.1,8,130.3,31.0,27,94.9,14.1,5.4,0.0,8
484,587.1,8,130.3,33.1,25,94.9,14.1,4.0,0.0,2
485,596.3,8,135.5,30.6,28,95.0,21.3,3.6,0.0,2
486,605.8,8,141.3,24.1,43,95.1,17.7,6.3,0.0,5
487,605.8,8,141.3,26.4,34,95.1,17.7,3.6,0.0,5
488,605.8,8,141.3,19.4,71,95.1,17.7,7.6,0.0,4
489,605.8,8,141.3,20.6,58,95.1,17.7,1.3,0.0,4
490,605.8,8,141.3,28.7,33,95.1,17.7,4.0,0.0,4
491,624.1,8,152.0,32.4,21,95.8,13.8,4.5,0.0,4
492,633.6,8,158.0,32.4,27,95.9,11.3,2.2,0.0,1
493,633.6,8,158.0,27.5,29,95.9,11.3,4.5,0.0,1
494,643.0,8,164.0,30.8,30,96.0,14.0,4.9,0.0,6
495,661.8,8,175.5,23.9,42,96.2,16.8,2.2,0.0,6
496,661.8,8,175.5,32.6,26,96.2,16.8,3.1,0.0,4
497,671.2,8,181.1,32.3,27,96.1,14.3,2.2,0.0,3
498,671.2,8,181.1,33.3,26,96.1,14.3,2.7,0.0,6
499,671.2,8,181.1,27.3,63,96.1,14.3,4.9,6.4,7
500,671.2,8,181.1,21.6,65,96.1,14.3,4.9,0.8,8
501,671.2,8,181.1,21.6,65,96.1,14.3,4.9,0.8,7
502,671.2,8,181.1,20.7,69,96.1,14.3,4.9,0.4,4
503,689.1,8,139.4,29.2,30,94.5,20.0,4.9,0.0,2
504,689.1,8,139.4,28.9,29,94.5,20.0,4.9,0.0,4
505,744.4,8,163.2,26.7,35,91.0,10.1,1.8,0.0,1
506,752.6,8,166.9,18.5,73,91.0,7.1,8.5,0.0,1
507,752.6,8,166.9,25.9,41,91.0,7.1,3.6,0.0,2
508,752.6,8,166.9,25.9,41,91.0,7.1,3.6,0.0,1
509,752.6,8,166.9,21.1,71,91.0,7.1,7.6,1.4,5
510,752.6,8,166.9,18.2,62,91.0,7.1,5.4,0.0,6
511,665.6,8,56.7,27.8,35,81.6,1.9,2.7,0.0,8
512,665.6,8,56.7,27.8,32,81.6,1.9,2.7,0.0,4
513,665.6,8,56.7,21.9,71,81.6,1.9,5.8,0.0,2
514,665.6,8,56.7,21.2,70,81.6,1.9,6.7,0.0,7
515,614.7,8,146.0,25.6,42,94.4,11.3,4.0,0.0,1
516,106.7,11,3.0,11.8,31,79.5,1.1,4.5,0.0,6
